,part_num,num_pos,num_neg
0,300,3,2
1,301,11,11
2,302,7,2
3,303,16,10
4,304,6,5
5,305,16,9
6,306,24,9
7,307,19,17
8,308,8,3
9,309,4,5
10,310,9,7
11,311,3,4
12,312,13,4
13,313,9,5
14,314,35,11
15,315,9,5
16,316,8,1
17,317,11,4
18,318,5,5
19,319,10,5
20,320,6,10
21,321,7,10
22,322,13,6
23,323,12,10
24,324,7,6
25,325,20,10
26,326,3,4
27,327,10,6
28,328,21,13
29,329,12,4
30,330,9,3
31,331,15,11
32,332,12,9
33,333,20,10
34,334,4,6
35,335,10,9
36,336,9,7
37,337,30,22
38,338,12,7
39,339,21,4
40,340,3,4
41,341,7,9
42,343,6,5
43,344,17,4
44,345,8,10
45,346,23,14
46,347,7,4
47,348,16,9
48,349,22,8
49,350,24,5
50,351,8,10
51,352,17,9
52,353,15,6
53,354,3,1
54,355,13,4
55,356,12,13
56,357,5,4
57,358,6,12
58,359,16,16
59,360,11,2
60,361,9,4
61,362,12,5
62,363,19,13
63,364,31,13
64,365,15,11
65,366,18,15
66,367,13,14
67,368,21,20
68,369,13,10
69,370,25,13
70,371,7,3
71,372,16,6
72,373,25,19
73,374,26,9
74,375,5,4
75,376,14,14
76,377,17,11
77,378,14,8
78,379,13,14
79,380,24,20
80,381,15,9
81,382,17,3
82,383,20,15
83,384,5,3
84,385,2,1
85,386,17,8
86,387,6,4
87,388,5,7
88,389,2,5
89,390,18,9
90,391,5,3
91,392,12,5
92,393,6,6
93,395,18,8
94,396,9,7
95,397,15,8
96,399,11,6
97,400,15,10
98,401,10,10
99,402,14,6
100,403,14,5
101,404,16,9
102,405,14,9
103,406,7,5
104,407,10,16
105,408,17,5
106,409,22,11
107,410,15,7
108,411,28,22
109,412,9,5
110,413,14,11
111,414,12,9
112,415,11,6
113,416,13,8
114,417,13,11
115,418,19,13
116,419,15,6
117,420,13,9
118,421,10,8
119,422,16,13
120,423,18,10
121,424,26,8
122,425,20,8
123,426,13,9
124,427,7,5
125,428,9,8
126,429,12,6
127,430,15,12
128,431,14,5
129,432,15,11
130,433,7,13
131,434,22,12
132,435,22,13
133,436,8,5
134,437,13,10
135,438,29,13
136,439,25,10
137,440,16,7
138,441,16,19
139,442,16,12
140,443,4,6
141,444,19,12
142,445,20,16
143,446,23,6
144,447,10,10
145,448,18,11
146,449,31,18
147,450,17,11
148,451,17,12
149,452,3,4
150,453,13,9
151,454,6,6
152,455,24,5
153,456,20,10
154,457,22,12
155,458,14,12
156,459,16,6
157,461,16,9
158,462,21,16
159,463,7,4
160,464,13,11
161,465,15,15
162,466,23,24
163,467,10,5
164,468,17,8
165,469,19,19
166,470,8,13
167,471,19,10
168,472,18,6
169,473,3,7
170,474,13,7
171,475,5,2
172,476,8,7
173,477,25,11
174,478,12,7
175,479,7,3
176,480,23,6
177,481,15,12
178,482,10,10
179,483,17,19
180,484,19,7
181,485,4,6
182,486,13,8
183,487,15,11
184,488,11,14
185,489,6,3
186,490,6,4
187,491,20,9
188,492,13,4
